# Interpolated from 5-degree to 1-degree separation (linear method)
# Angle (degrees)	Power (nW)
0.0	0.000000e+00
1.0	3.094000e+01
2.0	6.188000e+01
3.0	9.282000e+01
4.0	1.237600e+02
5.0	1.547000e+02
6.0	1.543800e+02
7.0	1.540600e+02
8.0	1.537400e+02
9.0	1.534200e+02
10.0	1.531000e+02
11.0	1.526600e+02
12.0	1.522200e+02
13.0	1.517800e+02
14.0	1.513400e+02
15.0	1.509000e+02
16.0	1.514400e+02
17.0	1.519800e+02
18.0	1.525200e+02
19.0	1.530600e+02
20.0	1.536000e+02
21.0	1.536600e+02
22.0	1.537200e+02
23.0	1.537800e+02
24.0	1.538400e+02
25.0	1.539000e+02
26.0	1.539600e+02
27.0	1.540200e+02
28.0	1.540800e+02
29.0	1.541400e+02
30.0	1.542000e+02
31.0	1.538800e+02
32.0	1.535600e+02
33.0	1.532400e+02
34.0	1.529200e+02
35.0	1.526000e+02
36.0	1.526000e+02
37.0	1.526000e+02
38.0	1.526000e+02
39.0	1.526000e+02
40.0	1.526000e+02
41.0	1.527800e+02
42.0	1.529600e+02
43.0	1.531400e+02
44.0	1.533200e+02
45.0	1.535000e+02
46.0	1.535400e+02
47.0	1.535800e+02
48.0	1.536200e+02
49.0	1.536600e+02
50.0	1.537000e+02
51.0	1.527200e+02
52.0	1.517400e+02
53.0	1.507600e+02
54.0	1.497800e+02
55.0	1.488000e+02
56.0	1.482600e+02
57.0	1.477200e+02
58.0	1.471800e+02
59.0	1.466400e+02
60.0	1.461000e+02
61.0	1.478000e+02
62.0	1.495000e+02
63.0	1.512000e+02
64.0	1.529000e+02
65.0	1.546000e+02
66.0	1.546000e+02
67.0	1.546000e+02
68.0	1.546000e+02
69.0	1.546000e+02
70.0	1.546000e+02
71.0	1.540000e+02
72.0	1.534000e+02
73.0	1.528000e+02
74.0	1.522000e+02
75.0	1.516000e+02
76.0	1.281400e+02
77.0	1.046800e+02
78.0	8.122000e+01
79.0	5.776000e+01
80.0	3.430000e+01
81.0	3.256000e+01
82.0	3.082000e+01
83.0	2.908000e+01
84.0	2.734000e+01
85.0	2.560000e+01
86.0	2.460600e+01
87.0	2.361200e+01
88.0	2.261800e+01
89.0	2.162400e+01
90.0	2.063000e+01
91.0	1.998200e+01
92.0	1.933400e+01
93.0	1.868600e+01
94.0	1.803800e+01
95.0	1.739000e+01
96.0	1.677800e+01
97.0	1.616600e+01
98.0	1.555400e+01
99.0	1.494200e+01
100.0	1.433000e+01
101.0	1.385200e+01
102.0	1.337400e+01
103.0	1.289600e+01
104.0	1.241800e+01
105.0	1.194000e+01
106.0	1.152600e+01
107.0	1.111200e+01
108.0	1.069800e+01
109.0	1.028400e+01
110.0	9.870000e+00
111.0	9.542000e+00
112.0	9.214000e+00
113.0	8.886000e+00
114.0	8.558000e+00
115.0	8.230000e+00
116.0	7.956000e+00
117.0	7.682000e+00
118.0	7.408000e+00
119.0	7.134000e+00
120.0	6.860000e+00
121.0	6.622000e+00
122.0	6.384000e+00
123.0	6.146000e+00
124.0	5.908000e+00
125.0	5.670000e+00
126.0	5.484000e+00
127.0	5.298000e+00
128.0	5.112000e+00
129.0	4.926000e+00
130.0	4.740000e+00
131.0	4.570000e+00
132.0	4.400000e+00
133.0	4.230000e+00
134.0	4.060000e+00
135.0	3.890000e+00
136.0	3.764000e+00
137.0	3.638000e+00
138.0	3.512000e+00
139.0	3.386000e+00
140.0	3.260000e+00
141.0	3.132000e+00
142.0	3.004000e+00
143.0	2.876000e+00
144.0	2.748000e+00
145.0	2.620000e+00
146.0	2.518600e+00
147.0	2.417200e+00
148.0	2.315800e+00
149.0	2.214400e+00
150.0	2.113000e+00
151.0	2.043600e+00
152.0	1.974200e+00
153.0	1.904800e+00
154.0	1.835400e+00
155.0	1.766000e+00
156.0	1.701200e+00
157.0	1.636400e+00
158.0	1.571600e+00
159.0	1.506800e+00
160.0	1.442000e+00
161.0	1.379000e+00
162.0	1.316000e+00
163.0	1.253000e+00
164.0	1.190000e+00
165.0	1.127000e+00
166.0	1.092400e+00
167.0	1.057800e+00
168.0	1.023200e+00
169.0	9.886000e-01
170.0	9.540000e-01
171.0	9.198000e-01
172.0	8.856000e-01
173.0	8.514000e-01
174.0	8.172000e-01
175.0	7.830000e-01
176.0	7.544000e-01
177.0	7.258000e-01
178.0	6.972000e-01
179.0	6.686000e-01
180.0	6.400000e-01
181.0	6.148000e-01
182.0	5.896000e-01
183.0	5.644000e-01
184.0	5.392000e-01
185.0	5.140000e-01
186.0	4.952000e-01
187.0	4.764000e-01
188.0	4.576000e-01
189.0	4.388000e-01
190.0	4.200000e-01
191.0	4.050000e-01
192.0	3.900000e-01
193.0	3.750000e-01
194.0	3.600000e-01
195.0	3.450000e-01
196.0	3.344000e-01
197.0	3.238000e-01
198.0	3.132000e-01
199.0	3.026000e-01
200.0	2.920000e-01
201.0	2.808200e-01
202.0	2.696400e-01
203.0	2.584600e-01
204.0	2.472800e-01
205.0	2.361000e-01
206.0	2.281000e-01
207.0	2.201000e-01
208.0	2.121000e-01
209.0	2.041000e-01
210.0	1.961000e-01
211.0	1.900400e-01
212.0	1.839800e-01
213.0	1.779200e-01
214.0	1.718600e-01
215.0	1.658000e-01
216.0	1.606000e-01
217.0	1.554000e-01
218.0	1.502000e-01
219.0	1.450000e-01
220.0	1.398000e-01
221.0	1.352000e-01
222.0	1.306000e-01
223.0	1.260000e-01
224.0	1.214000e-01
225.0	1.168000e-01
226.0	1.132800e-01
227.0	1.097600e-01
228.0	1.062400e-01
229.0	1.027200e-01
230.0	9.920000e-02
231.0	9.618000e-02
232.0	9.316000e-02
233.0	9.014000e-02
234.0	8.712000e-02
235.0	8.410000e-02
236.0	8.164000e-02
237.0	7.918000e-02
238.0	7.672000e-02
239.0	7.426000e-02
240.0	7.180000e-02
241.0	6.990000e-02
242.0	6.800000e-02
243.0	6.610000e-02
244.0	6.420000e-02
245.0	6.230000e-02
246.0	6.074000e-02
247.0	5.918000e-02
248.0	5.762000e-02
249.0	5.606000e-02
250.0	5.450000e-02
251.0	5.292000e-02
252.0	5.134000e-02
253.0	4.976000e-02
254.0	4.818000e-02
255.0	4.660000e-02
256.0	4.542000e-02
257.0	4.424000e-02
258.0	4.306000e-02
259.0	4.188000e-02
260.0	4.070000e-02
261.0	3.982000e-02
262.0	3.894000e-02
263.0	3.806000e-02
264.0	3.718000e-02
265.0	3.630000e-02
266.0	3.546000e-02
267.0	3.462000e-02
268.0	3.378000e-02
269.0	3.294000e-02
270.0	3.210000e-02
271.0	3.120000e-02
272.0	3.030000e-02
273.0	2.940000e-02
274.0	2.850000e-02
275.0	2.760000e-02
276.0	2.704000e-02
277.0	2.648000e-02
278.0	2.592000e-02
279.0	2.536000e-02
280.0	2.480000e-02
281.0	2.424000e-02
282.0	2.368000e-02
283.0	2.312000e-02
284.0	2.256000e-02
285.0	2.200000e-02
286.0	2.152000e-02
287.0	2.104000e-02
288.0	2.056000e-02
289.0	2.008000e-02
290.0	1.960000e-02
291.0	1.914000e-02
292.0	1.868000e-02
293.0	1.822000e-02
294.0	1.776000e-02
295.0	1.730000e-02
296.0	1.694000e-02
297.0	1.658000e-02
298.0	1.622000e-02
299.0	1.586000e-02
300.0	1.550000e-02
301.0	1.512000e-02
302.0	1.474000e-02
303.0	1.436000e-02
304.0	1.398000e-02
305.0	1.360000e-02
306.0	1.326000e-02
307.0	1.292000e-02
308.0	1.258000e-02
309.0	1.224000e-02
310.0	1.190000e-02
311.0	1.160000e-02
312.0	1.130000e-02
313.0	1.100000e-02
314.0	1.070000e-02
315.0	1.040000e-02
316.0	1.020000e-02
317.0	1.000000e-02
318.0	9.800000e-03
319.0	9.600000e-03
320.0	9.400000e-03
321.0	9.220000e-03
322.0	9.040000e-03
323.0	8.860000e-03
324.0	8.680000e-03
325.0	8.500000e-03
326.0	8.300000e-03
327.0	8.100000e-03
328.0	7.900000e-03
329.0	7.700000e-03
330.0	7.500000e-03
331.0	7.340000e-03
332.0	7.180000e-03
333.0	7.020000e-03
334.0	6.860000e-03
335.0	6.700000e-03
336.0	6.540000e-03
337.0	6.380000e-03
338.0	6.220000e-03
339.0	6.060000e-03
340.0	5.900000e-03
341.0	6.320000e-03
342.0	6.740000e-03
343.0	7.160000e-03
344.0	7.580000e-03
345.0	8.000000e-03
346.0	3.016640e+01
347.0	6.032480e+01
348.0	9.048320e+01
349.0	1.206416e+02
350.0	1.508000e+02
351.0	1.509600e+02
352.0	1.511200e+02
353.0	1.512800e+02
354.0	1.514400e+02
355.0	1.516000e+02
