# Interpolated 90-340° (cubic interpolation, 1° spacing)
# Angle (degrees)	Power (nW)
90.0	2.063000e+01
91.0	1.921000e+01
92.0	1.787000e+01
93.0	1.661000e+01
94.0	1.543000e+01
95.0	1.739000e+01
96.0	1.623000e+01
97.0	1.515000e+01
98.0	1.415000e+01
99.0	1.323000e+01
100.0	1.433000e+01
101.0	1.337000e+01
102.0	1.247000e+01
103.0	1.163000e+01
104.0	1.085000e+01
105.0	1.194000e+01
106.0	1.119000e+01
107.0	1.050000e+01
108.0	9.866000e+00
109.0	9.284000e+00
110.0	9.870000e+00
111.0	9.245000e+00
112.0	8.680000e+00
113.0	8.175000e+00
114.0	7.725000e+00
115.0	8.230000e+00
116.0	7.727000e+00
117.0	7.274000e+00
118.0	6.865000e+00
119.0	6.495000e+00
120.0	6.860000e+00
121.0	6.427000e+00
122.0	6.035000e+00
123.0	5.680000e+00
124.0	5.358000e+00
125.0	5.670000e+00
126.0	5.282000e+00
127.0	4.932000e+00
128.0	4.611000e+00
129.0	4.319000e+00
130.0	4.740000e+00
131.0	4.410000e+00
132.0	4.109000e+00
133.0	3.836000e+00
134.0	3.591000e+00
135.0	3.890000e+00
136.0	3.619000e+00
137.0	3.375000e+00
138.0	3.158000e+00
139.0	2.967000e+00
140.0	3.260000e+00
141.0	3.027000e+00
142.0	2.820000e+00
143.0	2.639000e+00
144.0	2.485000e+00
145.0	2.620000e+00
146.0	2.429000e+00
147.0	2.260000e+00
148.0	2.112000e+00
149.0	1.985000e+00
150.0	2.113000e+00
151.0	1.964000e+00
152.0	1.830000e+00
153.0	1.715000e+00
154.0	1.615000e+00
155.0	1.766000e+00
156.0	1.637000e+00
157.0	1.521000e+00
158.0	1.416000e+00
159.0	1.322000e+00
160.0	1.442000e+00
161.0	1.328000e+00
162.0	1.224000e+00
163.0	1.128000e+00
164.0	1.041000e+00
165.0	1.127000e+00
166.0	1.021000e+00
167.0	9.221000e-01
168.0	8.321000e-01
169.0	7.507000e-01
170.0	9.540000e-01
171.0	8.646000e-01
172.0	7.835000e-01
173.0	7.096000e-01
174.0	6.426000e-01
175.0	7.830000e-01
176.0	7.071000e-01
177.0	6.369000e-01
178.0	5.717000e-01
179.0	5.111000e-01
180.0	6.400000e-01
181.0	5.746000e-01
182.0	5.141000e-01
183.0	4.585000e-01
184.0	4.074000e-01
185.0	5.140000e-01
186.0	4.576000e-01
187.0	4.063000e-01
188.0	3.598000e-01
189.0	3.176000e-01
190.0	4.200000e-01
191.0	3.732000e-01
192.0	3.310000e-01
193.0	2.931000e-01
194.0	2.594000e-01
195.0	3.450000e-01
196.0	3.034000e-01
197.0	2.664000e-01
198.0	2.334000e-01
199.0	2.043000e-01
200.0	2.920000e-01
201.0	2.560000e-01
202.0	2.237000e-01
203.0	1.947000e-01
204.0	1.689000e-01
205.0	2.361000e-01
206.0	2.062000e-01
207.0	1.792000e-01
208.0	1.549000e-01
209.0	1.331000e-01
210.0	1.961000e-01
211.0	1.706000e-01
212.0	1.480000e-01
213.0	1.281000e-01
214.0	1.108000e-01
215.0	1.658000e-01
216.0	1.440000e-01
217.0	1.248000e-01
218.0	1.080000e-01
219.0	9.340000e-02
220.0	1.398000e-01
221.0	1.211000e-01
222.0	1.047000e-01
223.0	9.049000e-02
224.0	7.841000e-02
225.0	1.168000e-01
226.0	1.008000e-01
227.0	8.620000e-02
228.0	7.370000e-02
229.0	6.311000e-02
230.0	9.920000e-02
231.0	8.496000e-02
232.0	7.263000e-02
233.0	6.202000e-02
234.0	5.301000e-02
235.0	8.410000e-02
236.0	7.167000e-02
237.0	6.091000e-02
238.0	5.173000e-02
239.0	4.403000e-02
240.0	7.180000e-02
241.0	6.076000e-02
242.0	5.122000e-02
243.0	4.311000e-02
244.0	3.634000e-02
245.0	6.230000e-02
246.0	5.252000e-02
247.0	4.431000e-02
248.0	3.752000e-02
249.0	3.209000e-02
250.0	5.425000e-02
251.0	4.565000e-02
252.0	3.854000e-02
253.0	3.276000e-02
254.0	2.821000e-02
255.0	4.741000e-02
256.0	3.986000e-02
257.0	3.362000e-02
258.0	2.854000e-02
259.0	2.453000e-02
260.0	4.166000e-02
261.0	3.515000e-02
262.0	2.971000e-02
263.0	2.527000e-02
264.0	2.172000e-02
265.0	3.691000e-02
266.0	3.102000e-02
267.0	2.607000e-02
268.0	2.195000e-02
269.0	1.856000e-02
270.0	3.271000e-02
271.0	2.740000e-02
272.0	2.295000e-02
273.0	1.924000e-02
274.0	1.617000e-02
275.0	2.912000e-02
276.0	2.430000e-02
277.0	2.026000e-02
278.0	1.688000e-02
279.0	1.408000e-02
280.0	2.599000e-02
281.0	2.162000e-02
282.0	1.794000e-02
283.0	1.488000e-02
284.0	1.239000e-02
285.0	2.323000e-02
286.0	1.929000e-02
287.0	1.590000e-02
288.0	1.302000e-02
289.0	1.062000e-02
290.0	2.081000e-02
291.0	1.720000e-02
292.0	1.408000e-02
293.0	1.144000e-02
294.0	9.232000e-03
295.0	1.869000e-02
296.0	1.536000e-02
297.0	1.250000e-02
298.0	1.008000e-02
299.0	8.063000e-03
300.0	1.681000e-02
301.0	1.375000e-02
302.0	1.111000e-02
303.0	8.881000e-03
304.0	7.063000e-03
305.0	1.509000e-02
306.0	1.229000e-02
307.0	9.844000e-03
308.0	7.841000e-03
309.0	6.152000e-03
310.0	1.355000e-02
311.0	1.099000e-02
312.0	8.779000e-03
313.0	6.950000e-03
314.0	5.434000e-03
315.0	1.220000e-02
316.0	9.838000e-03
317.0	7.841000e-03
318.0	6.146000e-03
319.0	4.798000e-03
320.0	1.103000e-02
321.0	8.851000e-03
322.0	7.000000e-03
323.0	5.448000e-03
324.0	4.235000e-03
325.0	1.002000e-02
326.0	7.977000e-03
327.0	6.254000e-03
328.0	4.815000e-03
329.0	3.686000e-03
330.0	9.160000e-03
331.0	7.256000e-03
332.0	5.626000e-03
333.0	4.272000e-03
334.0	3.199000e-03
335.0	8.400000e-03
336.0	6.612000e-03
337.0	5.099000e-03
338.0	3.863000e-03
339.0	2.877000e-03
340.0	7.830000e-03
